Call type,Location,Dispatch time
DISTURBANCE WITH WEAPON IN PROGRESS,2124 LABETTE MANOR DR,2022-04-15 00:50:33
SHOT SPOTTER ACTIVATION,4505 W 24TH ST,2022-04-15 00:48:33
SHOT SPOTTER ACTIVATION,4500 W 28TH ST,2022-04-15 00:42:43
THEFT JUST OCCURRED,6420 S UNIVERSITY AVE,2022-04-15 00:35:47
SHOTS FIRED,1908 S PULASKI ST,2022-04-15 00:34:20
BURGLAR ALARM,11400 W MARKHAM ST,2022-04-15 00:33:23
SUSPICIOUS PERSON,9407 COMSTOCK RD,2022-04-15 00:31:53
ASSIST PARTY,9601 BAPTIST HEALTH DR,2022-04-15 00:25:41
PROPERTY CHECK,2003 S IZARD ST,2022-04-15 00:25:02
PRISONER TRANSPORT,13400 INTERSTATE 30,2022-04-15 00:24:05
VEHICLE DWOC,209 GREENCREST DR,2022-04-15 00:15:24
DISTURBANCE IN PROGRESS,1512 GREEN MOUNTAIN DR,2022-04-15 00:14:29
DISTURBANCE IN PROGRESS,9919 COCHRANE ST,2022-04-15 00:13:07
SUSPICIOUS PERSON,110 S SHACKLEFORD RD,2022-04-15 00:08:30
CHECK CONDITION OF SUBJECT,1801 CHAMPLIN DR,2022-04-15 00:07:20
ASSIST MEDICAL,2910 FULTON ST,2022-04-15 00:05:55
